,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Lhasa Apso,https://api-ninjas.com/images/dogs/lhasa_apso.jpg,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,12.0,15.0,11.0,11.0,18.0,18.0,10.0,10.0,12.0,12.0,The Lhasa Apso is a Tibetan dog breed that has been around for centuries. They were originally bred as watchdogs for Tibetan monasteries and palaces. The name “Lhasa Apso” means “Bark Lion Sentinel Dog” in Tibetan.,"Lhasas are small dogs, typically standing 9-11 inches tall at the shoulder and weighing 12-18 pounds.",,"Lhasas are independent dogs but are also loyal and playful. Hence, they can be protective of their family and home.","They are generally healthy dogs, but some health concerns that they are prone to include eye problems, allergies, and hip dysplasia.","They have a long lifespan, typically living 12-18 years.",,"The Lhasa Apso has a long, double coat that can be straight or wavy. The coat is typically black, brown, cream, or white.",They have low exercise needs. They are content with a few short walks or play sessions each day.,,Lhasas require high-maintenance grooming. Their coat needs to be brushed regularly to prevent matting. They may also need to be taken to a professional groomer for trimming.,,"Even more, Lhasa Apsos are intelligent dogs but can be stubborn. They need early, consistent training to be well-behaved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Löwchen,https://api-ninjas.com/images/dogs/löwchen.jpg,5.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,13.0,15.0,14.0,14.0,15.0,15.0,12.0,12.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltese,https://api-ninjas.com/images/dogs/maltese.jpg,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,12.0,15.0,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,"Mediterranean, specifically Malta",Small,,"Gentle, affectionate, playful, and alert","Generally healthy, but may be prone to dental issues due to their small size, as well as certain genetic conditions like luxating patella.",12-15 years,,"Long, silky, and straight white coat (though some may have slight lemon or tan markings)",,,High-maintenance coat that requires daily brushing and regular professional grooming,Toy,"Intelligent and eager to please, but can be a bit stubborn; consistent, positive reinforcement training works well",,,,"Moderate exercise requirements, daily short walks and indoor playtime are suitable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maltipoo,,,,,,,,,,,,,,,,,,,,,,,,United States. The goal was to combine the Poodle’s hypoallergenic coat and intelligence with the Maltese’s charm and compact size.,5-15 pounds (2.3-6.8 kg),,"Maltipoos are known for being affectionate, friendly, and sociable. They often form strong bonds with their families and can get along well with children and other pets.","Maltipoos can inherit health traits from both parent breeds. Responsible breeding practices, regular veterinary care, and a balanced diet are important for their overall health.",10-15 years,,"Maltipoos can have a variety of coat types, including straight, wavy, or curly. They often have low-shedding or hypoallergenic coats, which can vary depending on the generation of the cross.",,,Grooming needs depend on the coat type. Regular brushing and occasional professional grooming help keep their coat in good condition.,Hybrid (Designer),"Maltipoos are usually intelligent and eager to please, making them trainable. Positive reinforcement methods work well with them.",,,,"They have moderate exercise requirements. Regular playtime, walks, and mental stimulation are important for their well-being.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Terrier,,,,,,,,,,,,,,,,,,,,,,,,The country or region where the breed originated.,The average height and weight of the breed.,,"The general personality of the breed, such as friendly, playful, or independent.",Any health problems that are common in the breed.,The average lifespan of the breed.,"The American Kennel Club (AKC) recognizes 7 groups of dogs: Sporting, Working, Terrier, Hound, Companion, Toy, and Non-Sporting.","The type of coat the breed has, such as shorthair, longhair, or wirehair.",The amount of exercise the breed needs each day.,,,,The level of training the breed requires.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Terrier (Standard),https://api-ninjas.com/images/dogs/manchester_terrier_(standard).jpg,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,15.0,17.0,16.0,16.0,22.0,22.0,15.0,15.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Terrier (Toy),https://api-ninjas.com/images/dogs/manchester_terrier_(toy).jpg,4.0,3.0,2.0,2.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,15.0,17.0,12.0,12.0,12.0,12.0,10.0,10.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maremma Sheepdog,,,,,,,,,,,,,,,,,,,,,,,,Italy,"Large, typically standing 24-28 inches tall and weighing 75-100 pounds.",,"Loyal, protective, and gentle","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",10-12 years,Working,"Long, thick, and white",High,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lost in San Francisco” strongly features a Maremma Sheepdog named Delilah, the love interest of one of the movie’s canine protagonists. The character of Delilah is voiced by Carla Gugino.",,,,,,,,,,,,,,,
Mastiff,,,,,,,,,,,,,,,,,,,,,,,,"Mastiffs are an ancient breed with origins dating back to various parts of the world, including ancient Egypt, Asia, and Europe. Different types of mastiffs were bred for various purposes, such as guarding, hunting, and war.",Mastiffs are large and powerful dogs. They can vary in size based on the specific type of mastiff breed but generally fall into the category of giant breeds.,,"Mastiffs are known for their gentle and protective nature. They are often loyal, devoted, and affectionate with their families. They have a calm demeanor but can be formidable when protecting their home.","Like all large and giant breeds, Mastiffs can be prone to certain health issues, such as hip and elbow dysplasia, bloat, and heart problems. Regular veterinary care and a proper diet are crucial.","6 to 12 years, though some individuals may live longer with proper care and genetics.",,"They usually have a short, dense coat that can come in various colors, including fawn, brindle, apricot, and more. Coat colors and patterns vary depending on the specific mastiff breed.",,,Their short coat requires minimal grooming. Regular brushing helps manage shedding and keeps their coat healthy.,,"Mastiffs are generally intelligent and can be trained, but they may have an independent streak. Early socialization and consistent, positive reinforcement training are important.",,,,"While they are not overly active dogs, they still need regular exercise to maintain a healthy weight and mental well-being. Moderate walks and playtime are usually sufficient.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,One of the largest dog breeds. Males weigh between 160-230 pounds (72-104 kg).,"This Italian breed has large, loose skin and heavy wrinkles on the face and body. They have a protective nature and used as guard dogs. They have a muscular build and can weigh between 110-150 pounds (50-68 kg).","Developed in England, Bullmastiffs guarded estates and caught poachers. They are a mix of English Mastiff and Bulldog. Known for their loyalty and protective instincts, they are large, powerful dogs, with males weighing around 100-130 pounds (45-59 kg).",,,,,,,,,,,,
Mini Bernedoodle,,,,,,,,,,,,,,,,,,,,,,,,United States (approx. 2003),"18-22 inches tall at the shoulder, 25-50 pounds",,"Intelligent, affectionate, playful, good with children and other pets","Some health concerns include hip dysplasia, elbow dysplasia, eye problems, and allergies.",10-12 years,Hybrid,"Curly, wavy, or straight; can be any color, but most commonly black, brown, white, or a combination of colors",Moderate; 30-60 minutes of exercise per day,,Low-shedding; brushing 2-3 times per week,,Mini Bernedoodles are relatively easy to train with positive reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature American Shepherd,https://api-ninjas.com/images/dogs/miniature_american_shepherd.jpg,5.0,5.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,5.0,5.0,3.0,12.0,13.0,18.0,18.0,40.0,40.0,14.0,14.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Bull Terrier,https://api-ninjas.com/images/dogs/miniature_bull_terrier.jpg,3.0,3.0,2.0,1.0,2.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,11.0,13.0,14.0,14.0,28.0,28.0,10.0,10.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Pinscher,https://api-ninjas.com/images/dogs/miniature_pinscher.jpg,3.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,5.0,5.0,12.0,16.0,12.5,12.5,10.0,10.0,10.0,10.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miniature Schnauzer,https://api-ninjas.com/images/dogs/miniature_schnauzer.jpg,5.0,3.0,3.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,5.0,12.0,15.0,14.0,14.0,20.0,20.0,12.0,12.0,11.0,11.0,Germans originally bred the Schnauzer as working dogs to hunt rodents and guard property.,"Miniature Schnauzers are small dogs, typically standing 12-14 inches tall at the shoulder and weighing 12-20 pounds.",,"These dogs are intelligent, alert, loyal, and outgoing dogs. They are good with children and other pets.","Miniature Schnauzers are generally healthy dogs, but they are prone to some health problems such as allergies, bladder stones, and skin problems.",12-15 years.,,Hand-strip the Miniature Schnauzer coat every 4-6 weeks to remove the dead hair and keep it healthy.,"Miniature Schnauzers need 30-60 minutes of exercise per day. This can be a combination of walking, running, and playing.",,Groom your Miniature Schnauzer regularly. This includes brushing the coat daily and hand-stripping it every 4-6 weeks. They also need to have their nails trimmed regularly.,,They are easy to train but can be stubborn. Use positive reinforcement as the best training method.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Cur,https://api-ninjas.com/images/dogs/mountain_cur.jpg,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,10.0,13.0,26.0,26.0,60.0,60.0,16.0,16.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mudi,https://api-ninjas.com/images/dogs/mudi.jpg,3.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,12.0,14.0,18.5,18.5,29.0,29.0,15.0,15.0,18.0,18.0,"The Mudi is a breed of dog that originated in Hungary. They are thought to have descended from the Puli and Pumi, two other Hungarian herding dogs.",,"The Mudi is medium-sized. Their height is 18 to 22 inches, and they weigh of 26 to 60 pounds. They have a wavy or curly coat that can be any color, including black, white, brown, gray, or merle.","The Mudi is an intelligent, energetic, and playful dog. They are also very loyal and protective of their families. They make great herding dogs, but they can also be successful in other dog sports, such as agility and obedience.","Mudis are generally healthy dogs, but they are prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",,,,,,The Mudi has low grooming requirements. Their coat only needs to be brushed a few times a week to prevent mats and tangles.,,,,,,,,,,,Mudis are high-energy dogs that need plenty of exercise. They are best suited for homes with active families or people who enjoy spending time outdoors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neapolitan Mastiff,https://api-ninjas.com/images/dogs/neapolitan_mastiff.jpg,3.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,2.0,1.0,7.0,9.0,31.0,31.0,150.0,110.0,26.0,26.0,150.0,110.0,Italy,"Large, typically standing 26-31 inches tall and weighing 150-200 pounds.",,"Gentle, loyal, and protective","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia.",8-10 years,Working,"Short, smooth, and dense",Moderate,,,,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nederlandse Kooikerhondje,https://api-ninjas.com/images/dogs/nederlandse_kooikerhondje.jpg,3.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,4.0,3.0,12.0,15.0,26.0,25.0,30.0,30.0,26.0,25.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newfoundland,https://api-ninjas.com/images/dogs/newfoundland.jpg,5.0,5.0,3.0,2.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,9.0,10.0,28.0,28.0,150.0,120.0,28.0,28.0,130.0,100.0,"Newfoundland, Canada",,,"Gentle, patient, and loyal","Relatively healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia",10-12 years,,,,,Moderate,Working,Early and consistent training is recommended,,,,,,100-150 pounds,,,,Low to moderate,,,,,,,,,,,,,25-28 inches,,,,,,,,,,,,,,,,,"Families with children, active adults, and experienced dog owners",,,,,,,,,,,,,,,,,,
Newfypoo,,,,,,,,,,,,,,,,,,,,,,,,The Newfypoo is a crossbreed between the Newfoundland and Poodle breeds. The designer crossbreed likely began in the United States in the 1990s.,22 to 30 inches (56 to 76 cm) at the shoulder and weighing between 70 to 150 pounds (32 to 68 kg).,,"Newfypoos are known for their gentle and friendly nature. They tend to be affectionate, loyal, and good with children and other pets.","As with all crossbreeds, Newfypoos can inherit health issues from their parent breeds. Common concerns may include joint issues, eye problems, and certain genetic conditions.",8 to 12 years.,,"They often have a dense, curly or wavy coat that can come in various colors such as black, brown, gray, or a mix of these.",,,"Their coat requires regular grooming to prevent matting and tangling. Regular brushing, occasional trimming, and proper ear and dental care are essential.",,They are generally intelligent and trainable dogs. Positive reinforcement methods work well for training Newfypoos.,,,,"Due to their larger size, they require regular exercise to keep them healthy and prevent weight gain. Daily walks and playtime are important.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Terrier,https://api-ninjas.com/images/dogs/norfolk_terrier.jpg,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,12.0,16.0,10.0,10.0,12.0,12.0,9.0,9.0,11.0,11.0,England.,"Small (9-10 inches at the shoulder, 11-12 pounds)",,"Affectionate, playful, loyal, intelligent, and relatively easy to train. Can be stubborn and yappy, so early socialization and training are important.","Generally healthy, but can be prone to allergies, patellar luxation, and eye problems.",12-15 years.,Terrier.,"Wiry, double coat in any color, but most commonly red, wheaten, black and tan, or grizzle. Requires moderate grooming.","Active dogs that need plenty of exercise, such as a daily walk or playtime session.",,"Moderate grooming required to keep the coat from matting. Brush and comb regularly, and trim or hand-strip every few months.",,Generally easy to train.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norrbottenspets,https://api-ninjas.com/images/dogs/norrbottenspets.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,14.0,17.0,18.0,18.0,30.0,30.0,16.5,16.5,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Buhund,https://api-ninjas.com/images/dogs/norwegian_buhund.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,12.0,15.0,18.5,18.5,40.0,35.0,17.0,17.0,31.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Elkhound,https://api-ninjas.com/images/dogs/norwegian_elkhound.jpg,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,12.0,15.0,20.5,20.5,55.0,48.0,20.5,20.5,55.0,48.0,Norway,"Male: 20-22 inches (51-56 cm) tall at the shoulder, 45-55 pounds (20-25 kg); Female: 18-20 inches (46-51 cm) tall at the shoulder, 35-45 pounds (16-20 kg)",,"Intelligent, independent, loyal, and affectionate","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",12-15 years,Working,"Thick, double coat that is gray or black in color",High,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwegian Lundehund,https://api-ninjas.com/images/dogs/norwegian_lundehund.jpg,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,15.0,15.0,15.0,30.0,30.0,13.0,13.0,20.0,20.0,Norway,Small to medium,,"Alert, active, devoted, and protective",,12-15 years,Spitz,"Harsh outer coat and dense, soft undercoat",High,Easy to train,,,,"Gastrointestinal issues, intestinal lymphangiectasia, and patellar luxation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich Terrier,https://api-ninjas.com/images/dogs/norwich_terrier.jpg,5.0,3.0,3.0,2.0,1.0,1.0,5.0,4.0,4.0,3.0,4.0,4.0,12.0,15.0,10.0,10.0,12.0,12.0,10.0,10.0,12.0,12.0,England,"9-10 inches tall at the shoulder, 11-12 pounds",,"Independent, playful, intelligent","Some common health problems include hip dysplasia, elbow dysplasia, and eye problems",12-15 years,Terrier,"Wiry, needs to be brushed weekly and stripped a few times a year",30 minutes per day,,Moderate,,Relatively easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia Duck Tolling Retriever,https://api-ninjas.com/images/dogs/nova_scotia_duck_tolling_retriever.jpg,5.0,4.0,3.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,2.0,12.0,14.0,21.0,21.0,50.0,50.0,18.0,18.0,35.0,35.0,Canada,,,"Friendly, playful, intelligent, and eager to please","Relatively healthy, but can be prone to some health problems, such as hip dysplasia and epilepsy",10-13 years,,,,,Moderate,,,,High,,,,35-45 pounds,,,,,,,,,,,,,,,,,17-21 inches,,,,,,,,,,,,,,,,,"Families with children, active adults, and experienced dog owners",,,,,,,,,,,,,,,,,,
Old English Sheepdog,https://api-ninjas.com/images/dogs/old_english_sheepdog.jpg,5.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,10.0,12.0,22.0,24.0,100.0,100.0,20.0,22.0,60.0,60.0,"The Old English Sheepdog, or OES, is a British dog breed that originated in the southwestern counties of England. Farmers originally bred the OES as drovers to help drive cattle and sheep to market.","They are large dogs, typically standing 21-22 inches tall at the shoulder and weighing 60-80 pounds.",,"They are gentle, affectionate, and intelligent dogs. They are good with children and other pets.","They are generally healthy dogs, but they are prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",Old English Sheepdogs have a lifespan of 10-12 years.,,"The OES has a long, double coat that can be straight or wavy. The coat is typically blue or gray with white.","Old English Sheepdogs need moderate exercise, such as a few walks or play sessions each day.",,Old English Sheepdogs require high-maintenance grooming. Brush their coat regularly to prevent matting. They may also need to be taken to a professional groomer for trimming.,,"They are intelligent dogs and are relatively easy to train. However, they can be stubborn at times, so it is important to be patient and consistent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterhound,https://api-ninjas.com/images/dogs/otterhound.jpg,3.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,10.0,13.0,27.0,27.0,115.0,80.0,27.0,27.0,115.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
